um_c,LB1,UB1,velocity
0.3042758203666536,0.2528138181592363,0.35573782257407094,0.307
0.29685445889429624,0.24539245668687892,0.34831646110171355,0.3
0.29685445889429624,0.24539245668687892,0.34831646110171355,0.3
0.29685445889429624,0.24539245668687892,0.34831646110171355,0.297
0.32653990478372585,0.27507790257630854,0.37800190699114317,0.329
0.3339612662560833,0.282499264048666,0.3854232684635006,0.321
0.3339612662560833,0.282499264048666,0.3854232684635006,0.322
0.3191185433113684,0.2676565411039511,0.3705805455187857,0.356
0.3116971818390111,0.26023517963159376,0.3631591840464284,0.342
0.3116971818390111,0.26023517963159376,0.3631591840464284,0.321
0.3339612662560833,0.282499264048666,0.3854232684635006,0.342
0.32653990478372585,0.27507790257630854,0.37800190699114317,0.334
0.29685445889429624,0.24539245668687892,0.34831646110171355,0.305
