qxdata17,qydata17
7.76,8.7725
7.77,8.761875
7.78,8.75125
7.79,8.740625
7.8,8.73
7.81,8.719375
7.82,8.70875
7.83,8.698125
7.84,8.6875
7.85,8.676875
7.86,8.66625
7.87,8.655625
7.88,8.645
7.89,8.634375
7.9,8.62375
7.91,8.613125
7.92,8.6025
7.93,8.591875
7.94,8.58125
7.95,8.570625
7.96,8.56
7.97,8.549375
7.98,8.53875
7.99,8.528125
8,8.5175
8.01,8.506875
8.02,8.49625
8.03,8.485625
8.04,8.475
8.05,8.464375
8.06,8.45375
8.07,8.443125
8.08,8.4325
8.09,8.421875
8.1,8.41125
8.11,8.400625
8.12,8.39
8.13,8.379375
8.14,8.36875
8.15,8.358125
8.16,8.3475
8.17,8.336875
8.18,8.32625
8.19,8.315625
8.2,8.305
8.21,8.294375
8.22,8.28375
8.23,8.273125
8.24,8.2625
8.25,8.251875
8.26,8.24125
8.27,8.230625
8.28,8.22
8.29,8.209375
8.3,8.19875
8.31,8.188125
8.32,8.1775
8.33,8.166875
8.34,8.15625
8.35,8.145625
8.36,8.135
8.37,8.124375
8.38,8.11375
8.39,8.103125
8.4,8.0925
8.41,8.081875
8.42,8.07125
8.43,8.060625
8.44,8.05
8.45,8.039375
8.46,8.02875
8.47,8.018125
8.48,8.0075
8.49,7.996875
8.5,7.98625
8.51,7.975625
8.52,7.965
8.53,7.954375
8.54,7.94375
8.55,7.933125
8.56,7.9225
8.57,7.911875
8.58,7.90125
8.59,7.890625
8.6,7.88
8.61,7.869375
8.62,7.85875
8.63,7.848125
8.64,7.8375
8.65,7.826875
8.66,7.81625
8.67,7.805625
8.68,7.795
8.69,7.784375
8.7,7.77375
8.71,7.763125
8.72,7.7525
8.73,7.741875
8.74,7.73125
8.75,7.720625
8.76,7.71
8.77,7.699375
8.78,7.68875
8.79,7.678125
8.8,7.6675
8.81,7.656875
8.82,7.64625
8.83,7.635625
8.84,7.625
8.85,7.614375
8.86,7.60375
8.87,7.593125
8.88,7.5825
8.89,7.571875
8.9,7.56125
8.91,7.550625
8.92,7.54
8.93,7.529375
8.94,7.51875
8.95,7.508125
8.96,7.4975
8.97,7.486875
8.98,7.47625
8.99,7.465625
9,7.455
9.01,7.4524
9.02,7.4498
9.03,7.4472
9.04,7.4446
9.05,7.442
9.06,7.4394
9.07,7.4368
9.08,7.4342
9.09,7.4316
9.1,7.429
9.11,7.4264
9.12,7.4238
9.13,7.4212
9.14,7.4186
9.15,7.416
9.16,7.4134
9.17,7.4108
9.18,7.4082
9.19,7.4056
9.2,7.403
9.21,7.4004
9.22,7.3978
9.23,7.3952
9.24,7.3926
9.25,7.39
9.26,7.3874
9.27,7.3848
9.28,7.3822
9.29,7.3796
9.3,7.377
9.31,7.3744
9.32,7.3718
9.33,7.3692
9.34,7.3666
9.35,7.364
9.36,7.3614
9.37,7.3588
9.38,7.3562
9.39,7.3536
9.4,7.351
9.41,7.3484
9.42,7.3458
9.43,7.3432
9.44,7.3406
9.45,7.338
9.46,7.3354
9.47,7.3328
9.48,7.3302
9.49,7.3276
9.5,7.325
9.51,7.3224
9.52,7.3198
9.53,7.3172
9.54,7.3146
9.55,7.312
9.56,7.3094
9.57,7.3068
9.58,7.3042
9.59,7.3016
9.6,7.299
9.61,7.2964
9.62,7.2938
9.63,7.2912
9.64,7.2886
9.65,7.286
9.66,7.2834
9.67,7.2808
9.68,7.2782
9.69,7.2756
9.7,7.273
9.71,7.2704
9.72,7.2678
9.73,7.2652
9.74,7.2626
9.75,7.26
9.76,7.2574
9.77,7.2548
9.78,7.2522
9.79,7.2496
9.8,7.247
9.81,7.2444
9.82,7.2418
9.83,7.2392
9.84,7.2366
9.85,7.234
9.86,7.2314
9.87,7.2288
9.88,7.2262
9.89,7.2236
9.9,7.221
9.91,7.2184
9.92,7.2158
9.93,7.2132
9.94,7.2106
9.95,7.208
9.96,7.2054
9.97,7.2028
9.98,7.2002
9.99,7.1976
10,7.195
10.01,7.1924
10.02,7.1898
10.03,7.1872
10.04,7.1846
10.05,7.182
10.06,7.1794
10.07,7.1768
10.08,7.1742
10.09,7.1716
10.1,7.169
10.11,7.1664
10.12,7.1638
10.13,7.1612
10.14,7.1586
10.15,7.156
10.16,7.1534
10.17,7.1508
10.18,7.1482
10.19,7.1456
10.2,7.143
10.21,7.1404
10.22,7.1378
10.23,7.1352
10.24,7.1326
10.25,7.13
10.26,7.1274
10.27,7.1248
10.28,7.1222
10.29,7.1196
10.3,7.117
10.31,7.1144
10.32,7.1118
10.33,7.1092
10.34,7.1066
10.35,7.104
10.36,7.1014
10.37,7.0988
10.38,7.0962
10.39,7.0936
